SITE CODE= 8A4óOíJí¨êVí¨                ,38.1033,142.8600, 24,9.0,40613.6154873, 24.87, 42.94
 LAT.=   38.5401
 LON.=  141.1272
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
0.004,-0.002,-0.029
-0.002,-0.025,-0.012
-0.017,-0.042,0.003
-0.001,-0.034,0.015
0.009,-0.024,0.018
0.000,0.005,0.012
-0.004,0.016,0.005
-0.001,0.011,-0.001
0.007,0.018,0.004
0.003,0.009,0.001
-0.004,0.009,-0.016
0.003,0.005,-0.026
0.003,-0.025,-0.026
0.012,-0.019,-0.018
-0.007,-0.005,-0.017
-0.013,-0.025,-0.011
0.019,-0.016,0.004
0.000,-0.018,0.006
0.004,-0.013,0.007
0.011,0.029,0.004
0.000,0.010,-0.005
0.021,-0.003,-0.006
0.004,0.008,-0.004
-0.001,0.009,0.000
0.002,0.012,0.002
