sample.csv,,,,,,,
ÉgÉäÉKéûçè '''18-09-24 09:55:00s,,,,,,,
,,,,,,,
Ch,Mode,Range,Scaling,Ratio,Offset,,
CH1-1-1,îMìdëŒ,500 Åé f.s.,OFF,-,-,,CH1-1-1[Åé]
CH1-1-2,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-2[Åé]
CH1-1-3,îMìdëŒ,100 Åé f.s.,OFF,-,-,,CH1-1-3[Åé]
CH1-1-4,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-4[V]
CH1-1-5,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-5[V]
CH1-1-6,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-6[V]
CH1-1-7,ìdà≥,100 V f.s.,OFF,-,-,,CH1-1-7[V]
,,,,,,,
Time,CH1-1-1[Åé],CH1-1-2[Åé],CH1-1-3[Åé],CH1-1-4[V],CH1-1-5[V],CH1-1-6[V],CH1-1-7[V]
'18-09-24 09:56:57s,2.62E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:58s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:56:59s,2.62E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:00s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.07E+01
'18-09-24 09:57:01s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:02s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.07E+01
'18-09-24 09:57:03s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:04s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.07E+01
'18-09-24 09:57:05s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:06s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.07E+01,2.08E+01
'18-09-24 09:57:07s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:08s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:09s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:10s,2.63E+01,2.68E+01,2.48E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:11s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
'18-09-24 09:57:12s,2.63E+01,2.68E+01,2.47E+01,2.07E+01,2.07E+01,2.08E+01,2.08E+01
