更新日時,全体,大阪府,京都府,兵庫県,奈良県,滋賀県,和歌山県,福井県,岐阜県,三重県
2022-02-13 23:54,210,0,0,0,0,0,210,0,0,0
2022-02-13 23:57,210,0,0,0,0,0,210,0,0,0
2022-02-14 00:06,780,0,0,0,0,0,780,0,0,0
2022-02-14 10:42,220,0,0,0,220,0,0,0,0,0
2022-02-14 10:45,220,0,0,0,220,0,0,0,0,0
2022-02-14 10:48,220,0,0,0,220,0,0,0,0,0
2022-02-14 10:51,220,0,0,0,220,0,0,0,0,0
2022-02-14 10:54,220,0,0,0,220,0,0,0,0,0
2022-02-14 10:57,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:00,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:03,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:06,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:09,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:12,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:15,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:18,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:21,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:24,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:27,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:30,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:33,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:36,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:39,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:42,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:45,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:48,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:51,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:54,220,0,0,0,220,0,0,0,0,0
2022-02-14 11:57,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:00,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:03,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:06,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:09,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:12,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:15,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:18,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:21,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:24,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:27,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:30,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:33,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:36,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:39,220,0,0,0,220,0,0,0,0,0
2022-02-14 12:42,220,0,0,0,220,0,0,0,0,0
2022-02-14 15:27,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:30,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:33,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:36,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:39,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:42,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:45,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:48,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:51,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:54,10,0,0,0,10,0,0,0,0,0
2022-02-14 15:57,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:00,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:03,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:06,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:09,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:12,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:15,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:18,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:21,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:24,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:27,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:30,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:33,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:36,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:39,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:42,10,0,0,0,10,0,0,0,0,0
2022-02-14 16:45,10,10,0,0,10,0,0,0,0,0
2022-02-14 16:48,10,10,0,0,10,0,0,0,0,0
2022-02-14 16:51,10,10,0,0,10,0,0,0,0,0
2022-02-14 16:54,10,10,0,0,10,0,0,0,0,0
2022-02-14 16:57,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:00,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:03,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:06,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:09,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:12,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:15,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:18,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:21,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:24,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:27,10,10,0,0,10,0,0,0,0,0
2022-02-14 17:30,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:33,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:36,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:39,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:42,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:45,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:48,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:51,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:54,10,0,0,0,10,0,0,0,0,0
2022-02-14 17:57,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:00,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:03,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:06,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:09,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:12,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:15,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:18,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:21,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:24,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:27,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:30,10,0,0,0,10,0,0,0,0,0
2022-02-14 18:33,10,0,0,0,10,0,0,0,0,0
